name,formula,mw,inchi,inchikey,cas_number,structure_img_url,mol_2d_url,mol_3d_url,view_3d_url,source_url
Caffeine,C8H10N4O2,194.1906,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,58-08-2,https://webbook.nist.gov/cgi/cbook.cgi?Struct=C58082&Type=Color,https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C58082,https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C58082,https://webbook.nist.gov/cgi/cbook.cgi?Str3View=C58082&Type=JSmol,https://webbook.nist.gov/cgi/cbook.cgi?Name=Caffeine
Aspirin,C9H8O4,180.1574,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,50-78-2,https://webbook.nist.gov/cgi/cbook.cgi?Struct=C50782&Type=Color,https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C50782,https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C50782,https://webbook.nist.gov/cgi/cbook.cgi?Str3View=C50782&Type=JSmol,https://webbook.nist.gov/cgi/cbook.cgi?Name=Aspirin
Ibuprofen,C13H18O2,206.2808,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",HEFNNWSXXWATRW-UHFFFAOYSA-N,15687-27-1,https://webbook.nist.gov/cgi/cbook.cgi?Struct=C15687271&Type=Color,https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C15687271,https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C15687271,https://webbook.nist.gov/cgi/cbook.cgi?Str3View=C15687271&Type=JSmol,https://webbook.nist.gov/cgi/cbook.cgi?Name=Ibuprofen
