,tp,fp,fn,precision,recall,f1
compound_id,68.5,2.0,39.0,0.9722222222222222,0.7346938775510204,0.8051587301587302
smiles,0.0,70.5,107.5,0.0,0.0,0.0
target_type,65.5,5.0,42.0,0.9287439613526569,0.7142857142857143,0.7773809523809524
target_relation,68.5,2.0,39.0,0.9722222222222222,0.7346938775510204,0.8051587301587302
target_value,28.5,42.0,79.0,0.41304347826086957,0.19387755102040816,0.26388888888888895
target_units,0.0,70.5,107.5,0.0,0.0,0.0
bacteria,66.0,4.5,41.5,0.9359903381642511,0.717687074829932,0.782010582010582
