,tp,fp,fn,precision,recall,f1
compound_id,32.0,29.333333333333332,39.333333333333336,0.43408991706678307,0.42723608609896235,0.3633678481348732
compound_name,12.0,49.333333333333336,59.333333333333336,0.18019478006754766,0.2614464688043283,0.18563393532226322
SMILES,0.0,61.333333333333336,71.33333333333333,0.0,0.0,0.0
SMILES_type,41.333333333333336,20.0,30.0,0.6215456101736366,0.8224852071005917,0.6142263893939132
target,28.0,33.333333333333336,43.333333333333336,0.37123526844172855,0.3034045107623703,0.2867715385636533
