pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
li2014.pdf,3101,nanoparticle,Escherichia coli,NOT_DETECTED,viability (%),,,,,3,,text-6,li2014:rule-1,"ureus has been a stumbling blood cells as well as viability assays on mammalian block for antimicrobial treatment, overcoming most cells.AtalltheMICconcentrationstested(intherange of the therapeutic chemo-agents developed in the of4nMto128nM),NP3showedmodesthemolytic past five decades.29 Particularly, MRSA has emerged activity as shown in Figure 4. HC50, which is the as “superbug”, resistant to most antibiotics com- concentrationtolyse50%ofhumanredbloodcells,35 monly used for the staph infections.30 NP 3 was was ∼400 nM for NP 3.",synergy.text_rules,0.58
li2014.pdf,3102,nanoparticle,Escherichia coli,NOT_DETECTED,viability (%),,,,,3,,text-10,li2014:rule-2,"therefore, the maximum hemolytic On the basis of the enhanced toxicity of NP 3, we index of NP 3 was 50 (400 nM/8 nM). Similarly, after hypothesizedthatthecationichydrophobicAuNPsare treatment with NP 3 at 128 nM, NIH-3T3 fibroblast particularly effective at compromising the integrity cells maintained a viability of 80% (see Supporting of bacterial membrane, causing toxicity to bacterial Information),indicatinglowtoxicityagainstmammalian cells.24 To support this hypothesis, we employed a cells.TheobservedAuNPcellselectivitycouldbeex- propidiumiodide(PI)stainingassay.PIcanonlypene- plained by the fact that the surface of bacterial cells tratebacterialcellswithcompromisedmembraneand aremorenegativelychargedthanmammaliancells,36 bindsnucleicacids,withaconcomitantenhancement therefore accounting for the better affinity toward of red fluorescence.31,32 Uropathogens, E.",synergy.text_rules,0.58
li2014.pdf,3103,Au,Escherichia coli,NOT_DETECTED,viability (%),,,,,4,,text-5,li2014:rule-3,"Allthereagents/materialsrequiredfornanoparti- ofNPsintheprewarmed10%serumcontainingmedia.Cells clesynthesiswerepurchasedfromFisherScientific,exceptfor wereincubatedfor24hat37(cid:1)Cunderahumidifiedatmosphere goldsalt,whichwasobtainedfromStremChemicals,Inc.The of 5% CO. Cell viability was determined using Alamar blue organicsolventswerefromPharmco-AaperorFisherScientific 2 assay according to the manufacturer's protocol (Invitrogen and used as received except for dichloromethane that was Biosource).AfterawashstepwithPBSthreetimes,cellswere distilledinthepresenceofcalciumhydride.NIH-3T3cells(ATCC treatedwith220μLof10%alamarblueinserumcontaining CRL-1658) were purchased from ATCC.",synergy.text_rules,0.58
li2014.pdf,3104,Au,Escherichia coli,NOT_DETECTED,viability (%),,,,,4,,text-9,li2014:rule-4,"bluesolution, andcharacterizedaspreviouslyreported.38,39(SeeSupporting was quantified (excitation/emission: 560 nm/590 nm) on a Informationforsynthesisandcharacterization.) SpectroMaxM5microplatereader(MolecularDevice)todeter- DeterminationofAntimicrobialActivitiesofCationicGoldNanoparti- minethecellularviability.CellswithoutanyNPswereconsid- cles. BacteriawereculturedinLBmediumat37(cid:1)Cand275rpm ered as 100% viable.",synergy.text_rules,0.58
